product_id,vendor,product,sensor_type,measures_claimed,species,country,stygar_listed,stygar_validation,icar_validated,source,marketing_url,manual_url,devdocs_url,patent_urls,comparator,notes
P001,Afimilk,AfiAct II,other,"Monitoring activity feeding, rumination, lying behaviour,  heat detection, rest, health and wellbing",dairy cattle,Israel,yes,external,no,stygar,https://www.afimilk.com/cow-monitoring,,,,no,"Leg mounted accelerometer, recorded as other because the schema has no leg tag value. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P002,Afimilk,AfiCollar,collar_accelerometer,"Heat detection, rumination, health alerts",dairy cattle,Israel,yes,none,no,stygar,https://www.afimilk.com/cow-monitoring,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P003,MSD Animal Health (Allflex),SenseHub Dairy,collar_accelerometer,"reproductive, health, nutritional and wellbeing status of individual cows and groups",dairy cattle,UK,yes,none,no,stygar,https://www.allflex.global/product/sensehub-dairy/,,,,no,"Stygar lists collar and ear versions. Allflex is now part of MSD Animal Health. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P004,CowManager,CowManager SensOor,ear_tag,"Feeding (rumination) and activity behaviours - lying, heat detection, location monitor, health alerts",dairy cattle,Netherlands,yes,external,no,stygar,https://www.cowmanager.com/en-us/,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P005,Nedap,Nedap CowControl SmartTag Neck,collar_accelerometer,"Monitoring activity for heat detection and health, rumination and feeding times",dairy cattle,Netherlands,yes,none,no,stygar,https://www.nedap-livestockmanagement.com/dairy-farming/solutions/nedap-cowcontrol/,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P006,Nedap,Nedap CowControl SmartTag Leg,other,Monitoring activity for heat detection and health,dairy cattle,Netherlands,yes,none,no,stygar,https://www.nedap-livestockmanagement.com/dairy-farming/solutions/nedap-cowcontrol/,,,,no,"Leg mounted accelerometer, recorded as other. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P007,smaXtec,smaXtec premium,bolus,Measures activity and temperature in rumen,dairy cattle,Austria,yes,none,no,stygar,https://smaxtec.com/en/,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P008,eCow,eBolus,bolus,"Measures activity, pH, and temperature in rumen",dairy cattle,UK,yes,external,no,stygar,https://ecow.co.uk/,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P009,DeLaval,DeLaval Body Condition Scoring (BCS),camera,Automatic body condition scoring,dairy cattle,Sweden,yes,external,no,stygar,http://www.delavalcorporate.com/our-products-and-services/farm-support/delaval-body-condition-scoring-bcs/,,,,no,"Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P010,Ever.Ag (Cainthus),Alus Nutrition,camera,"Monitors events like feed deliveries, push-ups & clean-outs (the farmer schedules it). Tracks accessibility of feed 24/7 and will highlight times when feed is inaccessible, allowing the farmer to adjust the feed management plan if necessary.",dairy cattle,Ireland,yes,none,no,stygar,https://www.cainthus.com/alus,,,,no,"Cainthus dairy business now trades as Ever.Ag Livestock. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
P011,Lely,Lely Astronaut A4,milking_system,monitor and analyse the milk production performance,dairy cattle,Netherlands,yes,none,no,stygar,https://www.lely.com/solutions/milking/astronaut-a4/,,,,no,"A5 is the current generation, to check in the market scan. Fields taken from the Stygar 2021 appendix table 1. The marketing URL is theirs and dates from 2021, not yet re-verified. Stygar flags that validation studies exist without splitting self validation from independent validation product by product, so external here means flagged in their appendix."
